id,title,artist,source,start
anjiu,安九,老王樂隊,,
wendingshenghuo,穩定生活多美好 三年五年高普考,老王樂隊,,
myjinji,My Jinji,落日飛車,,
meihaodeshi,美好的事可不可以發生在我身上,康士坦的變化球,,
yushi,浴室,deca joins,,
meiyongnianqing,他們說我是沒有用的年輕人,好樂團,,
likaiyilushang,離開的一路上,理想混蛋,,
tianqiqinglang,不是因為天氣晴朗才愛你,理想混蛋,,
meiyourenxiang,沒有人像我一樣,宇宙人,,
shiaidongwu,嗜愛動物,麋先生,,
nizhongjiu,你終究不愛這世界,傻子與白痴,,
taibeiliulang,台北流浪指南,傷心欲絕,,
lydia,Lydia,F.I.R.,,
yu,魚,怕胖團,,
yuepangyueguang,月旁月光,怕胖團,,
lansedeni,藍色的你,宇宙人,,
ruguohaizaiyiqi,如果我們還在一起,宇宙人,,
dahuaidan,愛情的大壞蛋,美秀集團,,
shoujiqianbao,手機錢包鑰匙菸,美秀集團,,
balidezhou,巴黎德州,椅子樂團,,
shizongrenkou,失蹤人口,甜約翰,,
beishangbeishang,揹上悲傷北上,Crispy 脆樂團,,
meiyourenzaihu,沒有人在乎你在乎的事,那我懂你意思了,,
zhaobudaolangman,"在這個年代,找不到浪漫",溫室雜草,,
qingchungeini,我把我的青春給你,好樂團,,
naxieshimiandeye,那些失眠的夜與難以忘懷的事,老王樂隊,,
dan,但,草東沒有派對,,
woshiyizhiyu,我是一隻魚,落日飛車,,
geqianderen,擱淺的人,康士坦的變化球,,
jiuerling,920,A-Lin,,
crushon,Crush on,李浩瑋,,
zhenxinhua,真心話,李浩瑋,,
jisuanlangman,計算浪漫,艾薇,,
buaijiubuai,不愛就不愛,艾薇,,
diqiubaozha,在地球爆炸之前,理想混蛋,,
nideweixiao,你的微笑,F.I.R.,,
chongai,寵愛,TFBOYS,,
tianmimi,甜蜜蜜,鄧麗君,,
zhishaohaiyouni,至少還有你,林憶蓮,,
wenbie,吻別,張學友,,
hongdou,紅豆,王菲,,
tinghai,聽海,張惠妹,,
pengyou,朋友,周華健,,
yongqi,勇氣,梁靜茹,,
xiaoxiaoniao,我是一隻小小鳥,趙傳,,
tonghua,童話,光良,,
sileduyaoai,死了都要愛,信樂團,,
qingfeideyi,情非得已,庾澄慶,,
wangqingshui,忘情水,劉德華,,
tiantianxiangni,天天想你,張雨生,,
xintairuan,心太軟,任賢齊,,
yintian,陰天,莫文蔚,,
yongxinliangku,用心良苦,張宇,,
weidao,味道,辛曉琪,,
dayuezaidongji,大約在冬季,齊秦,,
yichangyouxi,一場遊戲一場夢,王傑,,
tongnian,童年,羅大佑,,
zhengfu,征服,那英,,
guohuo,過火,張信哲,,
yazi,鴨子,蘇慧倫,,
aiwobiezou,愛我別走,張震嶽,,
houlai,後來,劉若英,,
huanghun,黃昏,周傳雄,,
woyuanyi,我願意,王菲,,
nvrenhua,女人花,梅艷芳,,
yueliang,月亮代表我的心,鄧麗君,,
wuding,屋頂,溫嵐,,
jianai,剪愛,張惠妹,,
xinbuleqing,新不了情,萬芳,,
nuoweisenlin,挪威的森林,伍佰,,
lingwu,領悟,辛曉琪,,
nuannuan,暖暖,梁靜茹,,
chiqingnanzihan,癡情男子漢,玖壹壹,,
nishiwodehuaduo,妳是我的花朵,伍佰,,
daoyutianguang,島嶼天光,滅火器,,
jiahou,家後,江蕙,,
amadehua,阿嬤的話,蕭煌奇,,
shijiediyideng,世界第一等,伍佰,,
wunv,舞女,陳小雲,,
huanxijiuhao,歡喜就好,陳雷,,
langliulian,浪流連,茄子蛋,,
wanqianhuarui,萬千花蕊慈母悲哀,珂拉琪,,
danggen,擋一根,美秀集團,,
xinmen,心悶,美秀集團,,
anliu,暗流,拍謝少年,,
dakaitaiyang,打開太陽,血肉果汁機,,
dynamite,Dynamite,BTS,,
gangnamstyle,Gangnam Style,PSY,,
howyoulikethat,How You Like That,BLACKPINK,,
ditto,Ditto,NewJeans,,
tt,TT,TWICE,,
tomboy,TOMBOY,(G)I-DLE,,
sorrysorry,"Sorry, Sorry",Super Junior,,
bluevalentine,Blue Valentine,NMIXX,,
antifragile,ANTIFRAGILE,LE SSERAFIM,,
supernova,Supernova,aespa,,
growl,Growl,EXO,,
psycho,Psycho,Red Velvet,,
verynice,Very Nice,SEVENTEEN,,
gee,Gee,少女時代,,
apt,APT.,ROSÉ,,
golden,Golden,HUNTR/X,,
killthislove,Kill This Love,BLACKPINK,,
whatislove,What Is Love?,TWICE,,
queencard,Queencard,(G)I-DLE,,
nextlevel,Next Level,aespa,,
magnetic,Magnetic,ILLIT,,
bangbangbang,Bang Bang Bang,BIGBANG,,
nobody,Nobody,Wonder Girls,,
whiplash,Whiplash,aespa,,
strategy,Strategy,TWICE,,
overdrive,Overdrive,TWS,,
day6happy,HAPPY,DAY6,,
dinosaur,DINOSAUR,AKMU,,
mrchu,Mr. Chu,Apink,,
shapeofyou,Shape of You,Ed Sheeran,,
blindinglights,Blinding Lights,The Weeknd,,
someonelikeyou,Someone Like You,Adele,,
badguy,Bad Guy,Billie Eilish,,
shakeitoff,Shake It Off,Taylor Swift,,
uptownfunk,Uptown Funk,Mark Ronson,,
countingstars,Counting Stars,OneRepublic,,
letitgo,Let It Go,Idina Menzel,,
despacito,Despacito,Luis Fonsi,,
happy,Happy,Pharrell Williams,,
flowers,Flowers,Miley Cyrus,,
attention,Attention,Charlie Puth,,
believer,Believer,Imagine Dragons,,
vivalavida,Viva La Vida,Coldplay,,
baby,Baby,Justin Bieber,,
nothingholding,There's Nothing Holdin' Me Back,Shawn Mendes,,
whatmakesyou,What Makes You Beautiful,One Direction,,
lemon,Lemon,米津玄師,,
idol,Idol,YOASOBI,,
gurenge,紅蓮華,LiSA,,
pretender,Pretender,Official髭男dism,,
zankyosanka,残響散歌,Aimer,,
zenzenzense,前前前世,RADWIMPS,,
yorunikakeru,夜に駆ける,YOASOBI,,
gunjo,群青,YOASOBI,,
uchiagehanabi,打上花火,米津玄師,,
homura,炎,LiSA,,
bbbb,Bling-Bang-Bang-Born,Creepy Nuts,,
firstlove,First Love,宇多田ヒカル,,
ganzaohua,乾燥花,優里,,
wancange,晩餐歌,tuki.,,
